"scheme","p_z","sigma","rho","alpha","dlogZ","technique","reallocation","mean_price"
"T0",80,0.5,1,1.72723358759459,-0.383646076273173,-0.110987143262134,-0.272658933011039,1.02012379357388
"T0",100,0.5,1,1.72723358759459,-0.495777778749561,-0.18551659282115,-0.310261185928411,1.02369578724724
"T0",150,0.5,1,1.72723358759459,-0.662785670867568,-0.281273035079625,-0.381512635787943,1.03086534437464
"T0",200,0.5,1,1.72723358759459,-0.774990853178783,-0.33708141178761,-0.437909441391172,1.03656504002062
"T0",250,0.5,1,1.72723358759459,-0.876989219396566,-0.392743085981478,-0.484246133415088,1.04134711524935
