"year","n_sample","n_ets_sample","va_bn","va_pct","wb_bn","wb_pct","ets_sample_Mt","ets_sample_kt","total_Mt","stationary_Mt","cov_total","cov_stat","cov_ets_all"
2005,1427,211,31.848184883,99.0644066078663,16.330321837,99.4817847230423,50.503461,50503.461,125.65768932969,77.1339874115888,40.1913016779206,65.4749776262859,91.240840070014
2008,1458,221,34.48109076,98.6433993403118,18.68483426,99.6105324246125,50.415482,50415.482,120.204350458294,71.6648356562095,41.9414786634465,70.3489815309884,90.9009005386695
2012,1418,227,36.761097191,98.6387566865249,19.474369693,99.7146866487219,38.718696,38718.696,102.486234875939,58.9364363151069,37.7794111051785,65.6956857604834,90.0288650819007
2020,1283,209,44.705260092,99.6873378679089,21.39530255,99.4203237961619,39.38015,39380.15,91.2545541757374,53.9830046687346,43.1541749951043,72.9491628738625,95.2445620955659
