"scenario","granularity","compared_to","n_cells","n_firms_mean","mean_frac_other_pos","mean_share_other","mean_log_gap_u","mean_log_gap_other","mean_spearman","mean_pearson_log"
"s1","4d","u",28,16,1,1,2.579,2.579,0.33,0.39
"s1","2d","u",70,26,1,1,2.508,2.508,0.406,0.382
"s1","4d","u_other_4d",28,16,1,0.903,2.579,2.671,0.341,0.366
"s1","2d","u_other_2d",70,26,1,0.766,2.508,2.75,0.4,0.417
"s2","4d","u",1437,26,1,1,2.055,2.055,0.235,0.252
"s2","2d","u",653,77,1,1,2.39,2.39,0.247,0.261
"s2","4d","u_other_4d",1437,26,1,0.893,2.055,2.126,0.222,0.239
"s2","2d","u_other_2d",653,77,1,0.834,2.39,2.471,0.248,0.253
