"scenario","granularity","object","n_cells","n_firms_mean","mean_log_gap","ratio_x","mean_sd_log","mean_var_log","mean_gini"
"s1","4d","u",7577,281,2.473,11.858,1.123,1.38,0.498
"s1","4d","nu",7577,281,2.515,12.365,1.143,1.439,0.505
"s1","2d","u",1150,1851,2.724,15.241,1.201,1.525,0.544
"s1","2d","nu",1150,1851,2.762,15.829,1.22,1.584,0.554
"s2","4d","u",7577,281,2.399,11.011,1.104,1.34,0.505
"s2","4d","nu",7577,281,2.594,13.388,1.222,1.649,0.594
"s2","2d","u",1150,1851,2.596,13.415,1.165,1.434,0.553
"s2","2d","nu",1150,1851,2.773,16,1.271,1.727,0.67
