"nace4d","ets_Mt","ets_n","full_n","ets_log9010","full_log9010","ratio_full_ets"
"3511",236.1,7,13,4.84,6.01,1.24
"2410",110.75,6,6,2.27,2.27,1
"1920",103.05,5,5,3.57,3.57,1
"2014",85.52,17,31,2.92,3.57,1.22
"2351",70.47,3,3,0.29,0.96,3.33
"2352",38.57,3,4,0.77,3.18,4.12
"2016",18.56,12,28,2.93,3.78,1.29
"2015",12.75,3,6,1.96,2.61,1.33
"2311",11.31,,3,,2.27,
"2011",9.36,,6,,2.96,
"MEAN (top-10)",,,,2.44,3.12,
"Lyubich et al. (2018), 6-digit NAICS",,,,2.27,,
