"scenario","group","n_firmyears","mean_share","median_share","p25_share","p75_share","share_above_half","share_below_001"
"s1","ETS-regulated",174,0.643,0.678,0.41,0.919,0.69,0.006
"s1","non-ETS",1217,0,0,0,0,0,1
"s1","all",1391,0.08,0,0,0,0.086,0.876
"s2","ETS-regulated",348,0.634,0.68,0.404,0.9,0.681,0.009
"s2","non-ETS",2460,0.118,0,0,0,0.123,0.836
"s2","all",2808,0.182,0,0,0.094,0.192,0.733
