"scenario","granularity","compared_to","n_cells_all","n_cells_top10","n_cells_top5","n_firms_mean","mean_top5_overlap","mean_top10_overlap","mean_top10pct_overlap","mean_top25pct_overlap","mean_top_half_overlap"
"s1","4d","u",68,1,2,3,0.7,0.7,0.713235294117647,0.739705882352941,0.781
"s1","4d","nu",68,1,2,3,0.9,0.9,0.919117647058823,0.922794117647059,0.942
"s1","2d","u",26,3,4,7,0.4,0.467,0.480769230769231,0.573717948717949,0.563
"s1","2d","nu",26,3,4,7,0.9,0.8,0.787179487179487,0.806089743589744,0.797
"s2","4d","u",317,2,4,2,0.65,0.75,0.700315457413249,0.712565720294427,0.736
"s2","4d","nu",317,2,4,2,0.85,0.9,0.905362776025237,0.909568874868559,0.926
"s2","2d","u",81,8,19,9,0.337,0.375,0.434156378600823,0.515672153635117,0.639
"s2","2d","nu",81,8,19,9,0.8,0.838,0.87037037037037,0.861402606310014,0.891
