"rule","n_targeted","dlogZ","technique","scale","composition","pct_of_centrality"
"centrality",214,-0.554015523231405,-0.482428510275015,-0.000112248078288213,-0.0714747648781016,100
"emissions",214,-0.521510824323425,-0.456959257482826,-9.91731982836451e-05,-0.0644523936423155,94.1328902269038
"intensity",214,-0.406679497528193,-0.349882442621685,-8.69612356240125e-05,-0.0567100936708844,73.4057946889566
"upstream_psiE",214,-0.405014056568533,-0.348631893602915,-8.63994514170749e-05,-0.0562957635142003,73.1051820003541
"size",214,-0.270638353890526,-0.242123680008092,-6.57356656264898e-05,-0.0284489382168076,48.8503196285863
"downstream",214,-0.235876013224653,-0.214704062042525,-5.97911707982462e-05,-0.0211121600113293,42.575704711099
"upstream_1layer",214,-0.134041225887708,-0.123070399672631,-2.98444953267896e-05,-0.0109409817197503,24.1944891915459
"out_degree",214,-0.109680130100944,-0.108022985024985,-1.8524006421217e-05,-0.00163862106953759,19.7973026931111
