"year","n_sample","n_ets_sample","va_bn","va_pct","wb_bn","wb_pct","ets_sample_Mt","ets_sample_kt","total_Mt","stationary_Mt","cov_total","cov_stat","cov_ets_all"
2005,83580,211,128.589529046,89.6130436468028,75.388234092,95.743555719619,50.503461,50503.461,125.639605010913,77.1047853066951,40.1970867352006,65.4997751425095,91.240840070014
2008,88405,221,144.546785806,87.4928387655737,86.86065922,94.0623476091314,50.415482,50415.482,120.179657076422,71.6049969421408,41.9500964027056,70.4077706207255,90.9009005386695
2012,90312,227,153.845301057,87.0864631287411,93.717907363,94.515114415371,38.718696,38718.696,102.43454416756,58.9014931112071,37.7984754212065,65.7346596068429,90.0288650819007
2020,90474,211,183.759624137,85.4586972790964,104.655339085,94.2497212203999,39.382879,39382.879,91.2282715905615,54.0688301798594,43.1695989777741,72.8384151626608,95.2511624363457
