"statistic","Mean","p25","Median","p90","p99","years","pct_single_sourced"
"Suppliers per sector (avg, per buyer)",1.537,1.2,1.407,2.125,3.517,"2005-2022",71.7
"Supplier sectors per buyer",25.239,12,20,49,102,"2005-2022",71.7
